"prey_item","cluster"
"Actinopterygii",4
"Cephalopoda",4
"Decapoda",7
"Stomatopoda",7
"Benthic autotroph",2
"Detritus",2
"Foraminifera",2
"Inorganic",2
"Phytoplankton",2
"Anthozoa",3
"Medusozoa",3
"Cyanobacteria",8
"Harpacticoida",8
"Zooplankton",8
"Bivalvia",6
"Echinoidea",6
"Gastropoda",6
"Ophiuroidea",6
"Polyplacophora",6
"Scaphopoda",6
"Asteroidea",1
"Bryozoa",1
"Cirripedia",1
"Coralline algae",1
"Holothuroidea",1
"Porifera",1
"Tunicata",1
"Annelida",5
"Arachnida",5
"Hemichordata",5
"Insecta",5
"Nematoda",5
"Nemertea",5
"Peracarida",5
"Priapulida",5
"Pycnogonida",5
"Sipuncula",5
"Solenogastres",5
